Hello,Hey!
hey,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey'>hey</a>
What's your favourite sport?,I'm a big hockey fan.
Hello,It's nice to see you!
how are you?,I 'm doing well. How are you?
good thanks,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=good thanks'>good thanks</a>
Hello,Hello to you!
how are you?,I 'm doing well. How are you?
Hello,Hello to you!
hey!,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey!'>hey!</a>
what languages do you speak?,Mainly Python and a little French!
cool,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=cool'>cool</a>
Hello,Hello to you!
hi!,Hello there!
what languages do you speak?,Mainly Python and a little French!
"Wow, cool!",I think so!
what's our favourite sport?,I'm a big hockey fan.
Hello,Hi there!
hi!,Hello there!
what languages do you speak?,Mainly Python and a little French!
"Wow, cool!",I think so!
What's you favourite sport?,I'm a big hockey fan.
Hello,Hey!
hi!,Hello there!
Hello,Hi there!
hi!,Hello there!
what languages do you speak?,Mainly Python and a little French!
"wow, cool!",I think so!
what are your hobbies?,"Oh, the usual - long walks on the beach, reading, chatting with friends."
"wow, you seem almost human",Almost!
"ok, I better go, have a good day!",You too! Chat soon!
Nothing,What?
Hello,Hi there!
Hello,It's nice to see you!
Hello,Hey!
Hello,It's nice to see you!
Hello,Hi there!
hi!,Hello there!
what are your hobbies?,"Oh, the usual - long walks on the beach, reading, chatting with friends."
"wow, cool!",I think so!
what languages do you speak?,Mainly Python and a little French!
Hello,It's nice to see you!
Hello,It's nice to see you!
how long is a day,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=how long is a day'>how long is a day</a>
Hello,Ho ho hello!
hello,Ho ho hello!
how are you,I 'm doing well. How are you?
how are you,I 'm doing well. How are you?
Hello,Ho ho hello!
hey,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey'>hey</a>
how are you,I 'm doing well. How are you?
good thanks,Ho ho how can I help?
what are your hobbies/,"Oh, the usual - long walks on the beach, reading, chatting with friends."
what are your pasttimes,"Oh, the usual - long walks on the beach, reading, chatting with friends."
what time is it,The time is now 5:29 PM EST
Hello,It's nice to see you!
What do you look like?,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What do you look like?'>What do you look like?</a>
Hello,Hi there!
what do you look like?,"<image src = ""https://images.all-free-download.com/images/graphicthumb/cartoon_santa_claus_01_hd_pictures_170075.jpg"">"
do you have a website?,"<a href = ""http://www.santaclaus.com/"">Santa's Website</a>"
Hello,Hi there!
what do you look like?,"<image src = ""https://images.all-free-download.com/images/graphicthumb/cartoon_santa_claus_01_hd_pictures_170075.jpg"">"
Hello,Hello to you!
are you real?,As real as the bot that's speaking with you.
so what am I getting for christmas?,That would be telling!
can you really fit down a chimney?,"Oh all that sledding has taken a few inches off my waist, I'll be fine."
what if my house doesn't have a chimney?,"I have ways and means around that, don't you worry!"
do you like milk and cookies?,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=do you like milk and cookies?'>do you like milk and cookies?</a>
is rudolph with you?,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=is rudolph with you?'>is rudolph with you?</a>
Hello,Hello to you!
Good afternoon,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good afternoon'>Good afternoon</a>
Good morning,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good morning'>Good morning</a>
What's up?,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=What's up?'>What's up?</a>
How are you?,I 'm doing well. How are you?
Good,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good'>Good</a>
Hello,It's nice to see you!
you too!,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you too!'>you too!</a>
Hello,Ho ho hello!
how are you,I 'm doing well. How are you?
good thanks,Ho ho how can I help?
do you like milk and cookies,Indeed I do. I wouldn't say no to a half pint of Guinness either.
how long is a day,24 hours or 67 hours in Elf time
Hello,Hey!
hey,Ho-ho-hello to you!
Hello,Hey!
hi,Hello there!
Hello,Hello to you!
hi,Hello there!
Hello,Hi there!
hi,Hello there!
Hello,Hey!
hi,Hello there!
Hello,Hi there!
Hello,Hello to you!
what can you talk about?,"Lots of things! <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Do you like milk and cookies?')"";>Cookies</a><br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('What are the names of your reindeer?')"";>Reindeer</a><br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Where do you live?')"";>Where I live</a><br>"
Do you like milk and cookies?,I love milk and cookies! Great snack for long night of work!
What are the names of your reindeer?,"My reindeer are Dasher, Dancer, Prancer, Vixen, Comet, Cupid, Donner) and Blitzen."
Where do you live?,"Apt. 1a, Lapland Street, North Pole."
